stamp,scenario,pool,model,latency_ms,error_rate,agent,detected_s,quarantined_s,cleared_s,mttr_s,resolved,requests,request_errors
20260702-152811,latency,model-api-a,glm-4.7,2600.0,0.0,True,16.07,,,4.0,True,12,0
20260702-153057,latency,model-api-a,glm-4.7,2600.0,0.0,True,19.49,19.49,19.52,8.7,True,18,5
20260702-153157,errors,model-api-a,glm-4.7,0.0,0.9,,7.09,7.09,7.12,,False,223,171
20260702-153507,combo,model-api-a,glm-4.7,2600.0,0.5,,,,,,False,272,254
20260702-154142,latency,model-api-a,glm-4.7,2600.0,0.0,,17.83,17.83,17.86,,False,214,162
20260702-154451,errors,model-api-a,glm-4.7,0.0,0.9,True,4.55,,,4.0,True,13,12
20260702-154535,combo,model-api-a,glm-4.7,2600.0,0.5,True,10.31,,,4.0,True,12,7
20260702-155248,latency,model-api-a,glm-4.7,2600.0,0.0,True,9.3,9.3,9.32,2.0,True,6,0
20260702-155332,errors,model-api-a,glm-4.7,0.0,0.9,True,7.18,7.18,7.21,46.4,True,42,11
20260702-155503,combo,model-api-a,glm-4.7,2600.0,0.5,True,9.4,9.4,9.43,3.5,True,11,6
20260702-155845,latency,model-api-a,glm-4.7,2600.0,0.0,,19.31,19.31,19.33,,False,100,44
20260702-160159,errors,model-api-b,glm-4.7,0.0,0.9,,,,,,False,264,5
20260702-160511,combo,model-api-a,glm-4.7,2600.0,0.5,True,36.04,36.04,36.07,82.2,True,78,46
20260702-161342,latency,model-api-a,glm-4.7,2600.0,0.0,,15.52,15.52,15.55,,False,69,22
20260702-161651,errors,model-api-a,glm-4.7,0.0,0.9,True,59.2,,59.23,84.7,True,74,23
20260702-161952,combo,model-api-a,glm-4.7,2600.0,0.5,,15.85,15.85,15.89,,False,65,20
20260702-163119,latency,model-api-a,glm-4.7,2600.0,0.0,True,18.76,18.76,18.79,8.1,True,19,0
20260702-163219,errors,model-api-a,glm-4.7,0.0,0.9,True,7.08,7.08,7.1,8.1,True,22,0
20260702-163309,combo,model-api-a,glm-4.7,2600.0,0.5,True,17.18,17.18,17.21,8.1,True,19,0
20260702-164306,latency,model-api-a,glm-4.7,2600.0,0.0,True,17.7,17.7,17.73,8.1,True,19,0
20260702-164328,latency,model-api-a,glm-4.7,2600.0,0.0,True,45.91,45.91,45.94,8.1,True,40,0
20260702-164455,errors,model-api-a,glm-4.7,0.0,0.9,True,17.29,17.29,17.3,8.1,True,36,0
20260702-164555,combo,model-api-a,glm-4.7,2600.0,0.5,True,15.03,15.03,15.06,8.1,True,21,0
20260702-184106,errors,model-api-a,glm-4.7,0.0,0.9,True,4.54,4.54,4.56,8.1,True,15,0
20260702-185334,latency,model-api-a,glm-4.7,2600.0,0.0,True,16.17,16.17,16.2,8.1,True,19,0
20260702-201639,latency,baseten-l4,qwen3-8b,600.0,0.0,,,,,,False,63,0
20260702-201834,latency,baseten-l4,qwen3-8b,600.0,0.0,True,39.53,39.53,39.55,8.7,True,19,1
20260702-201958,errors,baseten-l4,qwen3-8b,0.0,0.9,True,17.24,17.24,17.26,17.6,True,44,0
20260702-202107,combo,baseten-l4,qwen3-8b,600.0,0.5,True,17.24,17.24,17.27,8.7,True,30,0
20260703-154911,latency,baseten-l4,qwen3-8b,600.0,0.0,True,12.66,12.66,12.69,8.8,True,15,0
20260703-155011,errors,baseten-l4,qwen3-8b,0.0,0.9,True,10.61,10.61,10.62,9.2,True,13,0
20260703-180318,latency,baseten-l4,qwen3-8b,600.0,0.0,True,37.5,37.5,37.53,8.1,True,17,1
20260704-183556,latency,baseten-l4,qwen3-8b,1800.0,0.0,True,45.56,45.56,45.58,8.1,True,12,1
20260704-183725,errors,baseten-l4,qwen3-8b,0.0,0.5,True,45.17,45.17,45.19,8.1,True,43,0
20260704-183854,combo,baseten-l4,qwen3-8b,1800.0,0.5,True,80.7,80.7,80.73,8.1,True,54,0
20260704-184022,latency,baseten-l4,qwen3-8b,2400.0,0.0,True,110.07,110.07,110.1,8.1,True,68,0
20260704-184256,errors,baseten-l4,qwen3-8b,0.0,0.7,True,29.43,29.43,29.45,8.1,True,30,0
20260704-184408,combo,baseten-l4,qwen3-8b,2400.0,0.7,True,111.3,111.3,111.32,8.1,True,68,0
20260704-184608,latency,baseten-l4,qwen3-8b,3000.0,0.0,True,118.31,118.31,118.34,8.1,True,78,0
20260704-184849,errors,baseten-l4,qwen3-8b,0.0,0.9,True,17.32,17.32,17.35,8.1,True,20,0
20260704-184950,combo,baseten-l4,qwen3-8b,3000.0,0.9,True,117.43,117.43,117.46,8.1,True,78,0
20260704-185155,latency,baseten-l4,qwen3-8b,2000.0,0.0,True,116.34,116.34,116.37,8.1,True,89,0
20260704-185434,errors,baseten-l4,qwen3-8b,0.0,0.6,True,103.54,103.54,103.57,8.1,True,91,0
20260704-185701,combo,baseten-l4,qwen3-8b,2000.0,0.6,True,110.85,110.85,110.88,8.1,True,89,0
20260704-185900,latency,baseten-l4,qwen3-8b,2800.0,0.0,True,140.52,140.52,140.55,8.1,True,104,0
20260704-190204,errors,baseten-l4,qwen3-8b,0.0,0.8,True,121.34,121.34,121.36,8.1,True,105,0
20260704-190448,combo,baseten-l4,qwen3-8b,2800.0,0.8,,,,,,False,114,0
20260704-190723,latency,baseten-l4,qwen3-8b,1500.0,0.0,True,4.53,4.53,4.56,8.1,True,8,0
